Rank,City,Continent,Country,Population,Index Score,Safe and Connected Infrastructure,Usage and Reach,Policy and Support,Protected_km,Infra_density (km of bicycle infra/100 km of roadway),Score Bicycle Infrastructure,Public_spaces,Enclosed_spaces,Parking_density (stands/1K pop),Score Bicycle Parking,Street_km_total,Street_Km_30,Traffic_30 (% of km of roadway),Traffic Calming,Bike_trips_women_%,Score Women Modal Share,"Modal_share_2024_% 
(or nearest post-Covid)",Score Modal Share,"Modal_share_2019_% 
(or nearest pre-Covid)",Modal_delta (percentage points),Score Modal Share Increase,Cyclist_deaths,Safety_rate (rate/100K pop),Score Safety,Media_tone_70%_positive,Bicycle_brand_network_identity,School_cycling_education,Score Image of the Bicycle,Household_purchase_subsidy_yes_no,Logistics_business_subsidy_yes_no,Cargo_commercial_adoption_yes_no,Supportive_infra_standards_yes_no,Score Cargo Bikes,NGO_exists_yes_no,NGO_events_yes_no,NGO_policy_yes_no,Score Advocacy,Bicycle_budget_5yr,Spending_per_capita (€/capita/year),Score Political Commitment,Bike_share_fleet,Bike_share_trips,PT_integration_yes_no,Bike_share_cov_density (bikes/1K pop),Bike_share_usage (trips/bike/day),Bike_share_cov_score,Bike_share_usage_score,Score Bike Share,3yr_new_lanes_km,Cycling_masterplan_yes_no,Cycling_unit_yes_no,Cycling_standards_yes_no,Cycling_monitoring_yes_no,Infra_increase (km of bicycle infra/100 km of roadway),Infra_increase_score,Score Urban Planning,Lat,Lon
1,Utrecht,Europe,Netherlands,376735,71.11231179,67.14031983,64.41835749,79.16666667,330.0,27.84810127,52.88616492,76295.0,33647.0,494.3448312,87.51839043,1185.0,850.0,71.72995781,76.71870625,52.4,80.66666667,29.0,60.86956522,29.0,0.0,50.0,2.4,0.63705257,68.57833756,0,1,1,66.66666667,0,1,1,1,75,1,1,1,100.0,120000000.0,63.70525701,100.0,3762.0,1100000.0,1,9.985799036,0.801089482,4,0,55.55555556,2.1,1,1,1,1,0.17721519,1,50,52.0907006,5.1215634
2,Copenhagen,Europe,Denmark,669208,70.84421575,73.79065619,65.15804003,76.5578309,398.0,52.16251638,100.0,189000.0,0.0,564.846804,100.0,763.0,27.4,3.591087811,3.694138796,52.0,80.0,29.0,60.86956522,28.0,1.0,57.14285714,2.0,0.298860743,85.25914215,0,1,1,66.66666667,0,0,1,1,50,1,1,1,100.0,127000000.0,37.95531434,59.56465695,8180.0,3053142.0,0,12.22340438,3.628968591,4,3,77.77777778,10.0,1,1,1,1,1.31061599,4,80,55.6867243,12.5700724
3,Ghent,Europe,Belgium,270473,67.5920288,59.22135865,66.07487923,83.05379624,325.8,27.91773779,53.02109902,32467.0,18275.0,307.6425373,54.46477437,1167.0,731.0,62.63924593,66.97617159,51.5,79.16666667,33.5,70.65217391,33.5,0.0,50.0,3.2,1.183112547,41.64474827,1,1,1,100.0,0,1,1,1,75,1,1,1,100.0,45000000.0,33.27504039,52.21518495,2280.0,1032123.0,0,8.429676899,1.240234319,4,1,55.55555556,19.4,1,1,1,1,1.662382177,4,80,51.0538286,3.7250121
4,Amsterdam,Europe,Netherlands,934526,66.61735117,68.70711516,66.5410628,62.44616883,634.0,31.27775037,59.53176678,127500.0,42410.0,318.2468974,56.34216129,2027.0,1662.0,81.99309324,87.71772966,55.0,85.0,37.0,78.26086957,37.0,0.0,50.0,3.8,0.406623251,79.94391809,0,1,1,66.66666667,0,1,1,1,75,1,1,1,100.0,68900000.0,14.74544314,23.11800866,5150.0,137970.0,1,5.510815108,0.073398058,3,0,44.44444444,8.0,1,1,1,1,0.394671929,2,60,52.3730796,4.8924534
5,Paris,Europe,France,2070806,64.98508212,70.77272636,73.06970324,56.39847988,474.0,31.6,60.15618714,61294.0,5900.0,62.04733809,10.98480821,1500.0,1300.0,86.66666667,92.72640794,40.0,60.0,11.2,22.17391304,5.0,6.2,94.28571429,4.2,0.202819578,89.99622852,0,0,0,0.0,1,1,1,1,100,1,1,1,100.0,169000000.0,16.32214703,25.59391951,33029.0,56420513.0,1,15.94982823,4.680031123,4,3,88.88888889,83.0,1,1,1,1,5.533333333,6,100,48.8588897,2.320041
6,Helsinki,Europe,Finland,684018,64.90489796,60.20515673,58.31608006,80.28937239,600.0,36.85503686,70.33882729,5600.0,4510.0,22.96723186,4.066099285,1628.0,972.0,59.70515971,63.83170534,49.0,75.0,11.0,21.73913043,9.0,2.0,64.28571429,1.0,0.146194983,92.78915175,1,1,1,100.0,0,1,1,1,75,1,1,1,100.0,111500000.0,32.60148125,51.15748958,3470.0,2200000.0,1,5.072965916,1.737002092,3,1,55.55555556,14.0,1,1,1,1,0.85995086,3,70,60.1666204,24.9435408
7,Münster,Europe,Germany,322715,64.71689558,56.23844448,61.76666667,80.3235217,350.0,29.16666667,55.44113786,4829.0,6589.0,50.34473142,8.912988631,1200.0,800.0,66.66666667,71.2923667,54.3,83.83333333,47.0,100.0,43.5,3.5,75.0,1.6,0.495793502,75.5457292,1,1,1,100.0,0,0,1,1,50,1,1,1,100.0,52745296.0,32.68846877,51.29408679,0.0,0.0,0,0.0,0.0,0,0,0.0,21.8,1,1,0,1,1.816666667,4,70,51.9625101,7.6251879
8,Antwerp,Europe,Belgium,565707,64.41808544,51.2257533,75.42028986,63.85766206,610.4,26.20867325,49.70945921,20056.0,6179.0,81.82857911,14.48686237,2329.0,1608.0,69.04250751,73.83856024,55.0,85.0,38.0,80.43478261,35.2,2.8,70.0,3.8,0.671725823,66.86813138,0,1,1,66.66666667,0,1,1,1,75,1,1,1,100.0,33865262.0,11.97272157,18.76398156,4460.0,7160000.0,0,7.883939919,4.398304564,3,3,66.66666667,21.64,1,1,1,1,0.929154143,3,70,51.2211097,4.3997081
9,Bordeaux,Europe,France,265328,62.88426893,53.69441742,69.69013112,65.14318835,45.6,6.137281292,10.81729397,11407.0,3171.0,97.93538564,17.33839776,743.0,661.0,88.96366083,95.18810132,50.0,76.66666667,15.0,30.43478261,13.1,1.9,63.57142857,0.8,0.301513598,85.12829404,0,1,1,66.66666667,1,1,1,1,100,1,1,1,100.0,28675963.5,21.61548235,33.90608673,2439.0,1800000.0,1,9.192395827,2.021938028,4,2,77.77777778,4.8,1,1,1,1,0.64602961,2,60,44.841225,-0.5800364
10,Nantes,Europe,France,325070,62.77996148,55.31929344,65.16080055,68.43475731,86.0,10.98339719,20.20757147,8744.0,3088.0,63.297136,11.20607137,783.0,690.0,88.12260536,94.28674044,40.0,60.0,9.0,17.39130435,3.0,6.0,92.85714286,0.6,0.18457563,90.89608392,0,1,1,66.66666667,1,1,1,1,100,1,1,1,100.0,48760500.0,30.0,47.07236255,1230.0,1170000.0,1,3.783800412,2.606080855,2,2,55.55555556,2.6,1,1,1,1,0.332056194,2,60,47.2186371,-1.5541362
11,Bonn,Europe,Germany,340226,61.43210206,50.14741569,69.93374741,64.55287783,190.0,17.27272727,32.3943528,20000.0,865.0,120.1113378,21.26440956,1100.0,650.0,59.09090909,63.17341169,47.0,71.66666667,21.0,43.47826087,15.0,6.0,92.85714286,1.8,0.529060095,73.90490439,0,1,1,66.66666667,0,1,1,1,75,1,1,1,100.0,34212789.0,20.11180157,31.54484465,1300.0,1460000.0,1,3.820989578,3.076923077,2,3,66.66666667,5.8,1,1,1,1,0.527272727,2,60,50.7352621,7.1024635
12,The Hague,Europe,Netherlands,569387,60.97510346,55.7916718,62.30227743,65.55164969,325.0,23.87950037,45.19624076,46919.0,27655.0,213.3750858,37.77574456,1361.0,833.0,61.20499633,65.43908334,48.0,73.33333333,23.6,49.13043478,22.8,0.8,55.71428571,3.4,0.597133408,70.54729033,0,1,1,66.66666667,1,1,1,1,100,1,1,1,100.0,64500000.0,22.65594402,35.53993211,2300.0,750000.0,1,4.03943188,0.893388922,2,0,33.33333333,6.9,1,1,1,1,0.506980162,2,60,52.0799838,4.3113461
13,Strasbourg,Europe,France,291709,60.34661546,54.24959864,56.28709455,72.95563375,198.1,14.83895131,27.67844585,57848.0,2634.0,405.6439808,71.81486696,1335.0,232.6,17.42322097,18.51806442,44.0,66.66666667,14.0,28.26086957,12.0,2.0,64.28571429,0.4,0.137122955,93.23661594,1,1,1,100.0,1,1,1,1,100,1,1,1,100.0,29591894.0,20.28863971,31.82253501,386.0,58744.0,1,1.323236513,0.416949393,1,0,22.22222222,10.0,1,1,1,1,0.74906367,2,60,48.584614,7.7507127
14,Lyon,Europe,France,520774,58.91720093,53.39663412,52.16666667,77.02677704,70.8,9.452603471,17.24136552,21863.0,9110.0,101.4566779,17.96180437,749.0,552.0,73.69826435,78.82814444,40.5,60.83333333,,,,,,1.8,0.345639375,82.95185628,1,1,1,100.0,1,1,1,1,100,1,1,1,100.0,63250000.0,24.2907672,38.10710816,4700.0,12099094.0,1,9.025028131,7.052809094,4,4,100.0,14.6,1,1,1,0,1.949265688,4,70,45.7578137,4.8320114
15,Montreal,North America,Canada,1762949,58.33939932,49.17010788,60.09109731,70.52654129,523.0,12.67264357,23.48080978,11567.0,54.0,13.15296132,2.328589137,4127.0,2170.0,52.580567,56.19626464,43.0,65.0,8.0,15.2173913,4.0,4.0,78.57142857,2.2,0.124790904,93.84487583,1,1,1,100.0,1,1,1,0,75,1,1,1,100.0,68163596.0,7.73290617,12.10616518,12600.0,13009190.0,1,7.14711543,2.828699717,3,2,66.66666667,35.7,1,1,1,1,0.865035134,3,70,45.5031824,-73.5698065
16,Malmö,Europe,Sweden,365644,57.70486087,50.89470578,63.51704624,59.52610781,550.0,49.23903312,94.33519139,9500.0,5200.0,66.18459485,11.71726464,1117.0,134.0,11.99641898,12.70214954,50.4,77.33333333,27.0,56.52173913,25.0,2.0,64.28571429,1.8,0.49228211,75.71892332,0,1,0,33.33333333,0,1,1,1,75,1,1,1,100.0,52167369.0,28.5345139,44.77109789,1000.0,1100000.0,0,2.734900614,3.01369863,1,3,44.44444444,8.0,1,1,1,1,0.716204118,2,60,55.6052931,13.0001566
17,Munich,Europe,Germany,1604771,57.62016241,54.10136377,57.49247757,57.77322615,725.0,31.07586798,59.14058099,44000.0,0.0,54.83648446,9.708204786,2333.0,1640.0,70.29575654,75.1816698,49.2,75.33333333,21.0,43.47826087,18.0,3.0,71.42857143,4.4,0.274182422,86.47636329,0,1,1,66.66666667,0,1,1,1,75,1,1,1,100.0,125000000.0,15.57854672,24.42623793,4500.0,710000.0,1,2.80413841,0.432267884,1,0,22.22222222,5.47,1,1,1,0,0.234462066,1,40,48.1371079,11.5753822
18,Oslo,Europe,Norway,724300,57.23170717,45.17150323,50.59282264,76.29764097,52.0,1.386666667,1.612068469,19455.0,5351.0,61.10865663,10.81862484,3750.0,2670.0,71.2,76.15074938,42.0,63.33333333,7.0,13.04347826,6.0,1.0,57.14285714,0.4,0.055225735,97.27607345,0,1,1,66.66666667,0,1,1,1,75,1,1,1,100.0,227304347.8,62.7652486,98.52389719,3000.0,1150000.0,1,4.141930139,1.050228311,2,1,44.44444444,0.0,1,1,1,1,0.0,0,40,59.9133301,10.7389701
19,Vienna,Europe,Austria,2028289,56.6818328,55.06994996,54.95100069,66.68976829,370.9,13.24642857,24.5926281,33500.0,678.0,33.3670399,5.907272497,2800.0,1800.0,64.28571429,68.74069513,42.0,63.33333333,11.0,21.73913043,7.0,4.0,78.57142857,1.6,0.078884222,96.10915407,0,1,1,66.66666667,1,1,1,1,100,1,1,1,100.0,130000000.0,12.81868609,20.09240649,3000.0,980675.0,0,1.479079165,0.895593607,1,0,11.11111111,44.0,1,1,1,1,1.571428571,4,80,48.2083537,16.3725042
20,Bern,Europe,Switzerland,146455,56.38614474,43.19710439,64.42926156,61.22201298,18.0,4.455004455,7.557560468,4813.0,2660.0,83.88924926,14.85168167,404.04,241.05,59.65993466,63.78323756,50.0,76.66666667,19.0,39.13043478,15.0,4.0,78.57142857,0.6,0.409682155,79.79304223,0,1,1,66.66666667,0,0,1,1,50,1,1,1,100.0,13177555.0,17.99536376,28.22138527,1600.0,1694000.0,1,10.92485746,2.900684932,4,2,77.77777778,0.5,1,1,1,1,0.123750124,1,50,46.9484742,7.4521749
21,Graz,Europe,Austria,306068,55.81975948,49.14074485,52.73084886,71.57472619,126.0,10.49125729,19.25395617,3800.0,275.0,25.72957643,4.55514243,1201.0,800.0,66.61115737,71.23287727,50.0,76.66666667,19.0,39.13043478,19.3,-0.3,47.85714286,1.2,0.392069736,80.66174837,1,1,1,100.0,1,1,1,1,100,1,1,1,100.0,15920000.0,10.402917,16.29890476,24.0,,0,0.078413947,,0,0,0.0,10.0,1,1,1,1,0.832639467,3,70,47.0708678,15.4382786
22,Zürich,Europe,Switzerland,448664,55.65869868,45.30432427,48.01131815,74.2462177,62.5,9.426847662,17.1914587,21650.0,4250.0,105.9813134,18.76284201,663.0,409.0,61.6892911,65.95810305,43.8,66.33333333,11.0,21.73913043,8.0,3.0,71.42857143,1.4,0.312037516,84.60921759,0,1,1,66.66666667,0,0,0,1,25,1,1,1,100.0,129080000.0,57.53971792,90.31820414,2500.0,1000000.0,1,5.572098497,1.095890411,3,1,55.55555556,,1,1,1,1,,0,40,47.3744489,8.5410422
23,Rotterdam,Europe,Netherlands,670000,55.09995031,50.64968346,56.79986197,54.76290671,395.0,20.34614196,38.34968226,48441.0,9726.0,159.1164179,28.16983593,1941.4,1222.7,62.98032348,67.34170511,50.0,76.66666667,25.0,52.17391304,27.0,-2.0,35.71428571,2.8,0.417910448,79.38719403,0,1,1,66.66666667,0,1,1,1,75,1,1,1,100.0,26500000.0,7.910447761,12.38496017,2340.0,1000669.0,1,3.492537313,1.171606369,2,1,44.44444444,1.8,1,1,1,0,0.092716596,1,40,51.9244424,4.47775
24,Ljubljana,Europe,Slovenia,300354,54.56466892,51.75954593,55.87888199,65.28713908,362.46,21.9805943,41.51674664,5000.0,124.0,33.70689253,5.967439719,1649.0,583.0,35.35476046,37.73533226,58.5,90.83333333,13.7,27.60869565,11.0,2.7,69.28571429,1.0,0.332940464,83.57821104,0,0,1,33.33333333,0,0,1,0,25,1,1,1,100.0,36200000.0,24.10488956,37.815223,1090.0,1568030.0,1,3.629051053,3.941259269,2,3,66.66666667,76.5,1,1,0,1,4.639175258,6,90,46.0500268,14.5069289
25,Bologna,Europe,Italy,392791,54.40807193,49.12809015,56.94886128,66.73004447,109.5,12.03032301,22.2361907,5800.0,62.0,29.69008964,5.256308335,910.2,475.0,52.18633267,55.77376291,52.3,80.5,8.1,15.43478261,5.0,3.1,72.14285714,2.2,0.5600943,72.37418882,0,1,1,66.66666667,1,0,1,0,50,1,1,1,100.0,12870000.0,6.553103304,10.25351121,4300.0,3106337.0,0,10.94729767,1.979188914,4,2,66.66666667,26.0,1,1,1,1,2.856515052,5,90,44.4938203,11.3426327
26,Stockholm,Europe,Sweden,988840,53.39250233,61.15460009,45.82677709,59.79891109,825.0,31.40464408,59.77764764,22500.0,414.0,45.92654019,8.130795795,2627.0,1520.0,57.86067758,61.85497004,45.0,68.33333333,14.0,28.26086957,11.0,3.0,71.42857143,0.8,0.080902876,96.00958699,0,0,0,0.0,0,0,1,1,50,1,1,1,100.0,186496809.0,37.72032058,59.19564434,2000.0,,0,2.022571902,,1,0,11.11111111,48.18,1,1,1,1,1.834031214,4,80,59.3251172,18.0710935
27,Vitoria-Gasteiz,Europe,Spain,260774,52.19105818,54.00985173,39.35776398,75.41141944,126.32,29.51401869,56.11419892,8212.0,1395.0,68.33119866,12.09729756,428.0,63.0,14.71962617,15.6206163,38.8,58.0,8.0,15.2173913,8.2,-0.2,48.57142857,0.2,0.076694763,96.21714588,1,1,1,100.0,0,1,1,1,75,1,1,1,100.0,9700349.0,7.439659629,11.64567777,80.0,,0,0.30677905,,0,0,0.0,11.0,1,1,1,1,2.570093458,5,90,42.8465088,-2.6724025
28,Wroclaw,Europe,Poland,893506,51.34360107,67.8259914,37.43409248,60.29159864,427.67,38.16846352,72.88384295,10088.0,0.0,22.58071015,3.997669808,1120.48,691.1,61.67892332,65.94699187,45.0,68.33333333,4.7,8.043478261,6.3,-1.6,38.57142857,0.67,0.074985507,96.30145237,1,1,0,66.66666667,0,1,1,0,50,1,1,0,66.66666667,22390000.0,5.011717884,7.833061225,2534.0,1478346.0,0,2.836019008,1.598367409,1,1,22.22222222,40.18,1,1,1,1,3.585963159,6,100,51.1263106,16.9781963
29,Quebec,North America,Canada,549459,51.06797896,45.07107754,43.21400966,68.11457261,226.0,8.869701727,16.11188177,4893.0,3693.0,24.53140271,4.343018768,2548.0,1437.0,56.39717425,60.28653051,35.0,51.66666667,2.31,2.847826087,1.47,0.84,56.0,0.6,0.109198321,94.61395664,1,1,1,100.0,0,1,1,0,50,1,1,1,100.0,39355888.0,14.32532291,22.45829045,1800.0,1300000.0,1,3.275949616,1.97869102,2,2,55.55555556,16.0,1,1,0,1,0.627943485,2,50,52.4760892,-71.8258668
30,Vancouver,North America,Canada,662248,50.3209103,33.39602537,52.47826087,68.70010068,109.0,4.579831933,7.799437609,3900.0,560.0,12.62366968,2.234883794,2380.0,290.0,12.18487395,12.90411712,41.0,61.66666667,9.0,17.39130435,9.0,0.0,50.0,0.8,0.120800667,94.04168831,1,1,1,100.0,1,1,1,1,100,1,1,1,100.0,52373292.0,15.81682149,24.80040273,2600.0,1193557.0,0,3.926021672,1.257699684,2,1,33.33333333,2.5,1,1,1,1,0.105042017,1,50,49.2608724,-123.113952
31,Valencia,Europe,Spain,844424,50.21969636,55.59543776,41.13595583,57.29977118,193.43,17.82781408,33.46993978,11479.0,769.0,28.09844344,4.974524639,1084.99,854.06,78.71593287,84.20559013,40.0,60.0,5.0,8.695652174,4.1,0.9,56.42857143,0.8,0.094739136,95.32713424,1,1,1,100.0,0,0,1,0,25,1,1,0,66.66666667,6908124.78,1.636174429,2.53241806,2750.0,4768254.0,0,3.256657793,4.750439851,2,3,55.55555556,19.85,1,0,0,1,1.829509949,4,60,39.4697065,-0.3763353
32,Brussels,Europe,Belgium,198314,50.02118248,42.56094056,54.16080055,44.16666667,61.0,14.49275362,27.00762154,4064.0,1388.0,47.98450941,8.495136925,420.9,304.0,72.22618199,77.25051074,40.0,60.0,9.0,17.39130435,7.2,1.8,62.85714286,0.4,0.201700334,90.05143359,0,1,1,66.66666667,0,1,1,1,75,1,1,1,100.0,,,,1700.0,450000.0,1,8.572264187,0.725221595,4,0,55.55555556,,0,0,1,0,,0,10,50.8467372,4.352493
33,London,Europe,United Kingdom,3505912,49.70511651,49.61563557,46.28433402,51.66666667,219.3,5.072866065,8.754785648,48021.0,2000.0,27.96476352,4.95085806,4323.0,4040.0,93.45362017,100.0,38.0,56.66666667,4.1,6.739130435,4.3,-0.2,48.57142857,4.0,0.114092995,94.37253417,0,1,1,66.66666667,0,1,1,1,75,1,1,1,100.0,,,,13000.0,8537426.0,0,3.708022335,1.799246786,2,2,44.44444444,,1,1,1,1,,0,40,51.5074456,-0.1277653
34,Manchester,Europe,United Kingdom,627700,49.24361661,45.16083419,42.91028295,64.95285756,29.2,2.134502924,3.061144416,3100.0,4748.0,17.44145292,3.08782006,1368.0,944.0,69.00584795,73.79927211,28.0,40.0,7.0,13.04347826,5.0,2.0,64.28571429,1.8,0.286761192,85.85593436,0,1,1,66.66666667,0,1,1,1,75,1,1,1,100.0,66318571.0,21.13065828,33.14476357,1080.0,493339.0,0,1.72056715,1.251494165,1,1,22.22222222,5.35,1,1,1,1,0.391081871,2,60,53.4794892,-2.2451148
35,Portland,North America,United States,652503,49.09734973,50.6952073,36.957902,70.0,128.75,3.81142688,6.310505682,7679.0,4100.0,29.82055255,5.279405378,3378.0,2575.0,76.2285376,81.53984349,29.0,41.66666667,2.4,3.043478261,3.4,-1.0,42.85714286,2.6,0.398465601,80.34628193,1,1,1,100.0,1,0,1,1,75,1,1,1,100.0,,,,2400.0,550100.0,0,3.678144009,0.627968037,2,0,22.22222222,61.2,1,1,1,1,1.811722913,4,80,45.5202471,-122.674194
36,Bergen,Europe,Norway,294029,48.52858554,48.11195652,40.5010352,64.45166335,216.0,34.34022258,65.46589308,4000.0,460.0,28.77267208,5.093889508,629.0,,,,36.0,53.33333333,5.0,8.695652174,4.0,1.0,57.14285714,0.0,0.0,100.0,0,1,1,66.66666667,0,1,1,0,50,1,1,1,100.0,19826086.96,13.48580375,21.13998674,900.0,401846.0,0,3.060922562,1.223275495,2,1,33.33333333,9.5,1,1,1,0,1.510333863,4,70,60.3943055,5.3259192
37,Cologne,Europe,Germany,1090473,48.30009434,28.5414212,61.21256039,54.78282963,289.0,9.142676368,16.64082241,4000.0,900.0,8.161595931,1.444922034,3161.0,,,,48.0,73.33333333,25.0,52.17391304,18.0,7.0,100.0,3.4,0.311791305,84.62136156,1,0,1,66.66666667,0,0,1,0,25,1,1,1,100.0,43407351.0,7.961196838,12.46465186,3000.0,4400000.0,1,2.751099752,4.01826484,1,3,55.55555556,,1,1,1,1,,0,40,50.938361,6.959974
38,Christchurch,Oceania,New Zealand,412000,47.97483458,37.8892047,39.68115942,76.45525723,282.0,13.49928195,25.08257995,1500.0,9000.0,29.12621359,5.156480197,2089.0,166.0,7.946385831,8.361720663,41.0,61.66666667,4.1,6.739130435,3.4,0.7,55.0,1.6,0.388349515,80.84524272,1,1,1,100.0,0,1,1,1,75,1,1,1,100.0,47040000.0,22.83495146,35.82102893,0.0,0.0,0,0.0,0.0,0,0,0.0,25.0,1,1,1,1,1.196744854,3,70,-43.530955,172.6364343
39,Taipei,Asia,Taiwan,2490869,47.44374839,46.99349737,49.69358178,45.83333333,504.47,35.48108032,67.67652342,21426.0,13285.0,22.53711456,3.989951682,1421.8,294.1,20.68504712,22.01377023,44.0,66.66666667,3.8,6.086956522,3.7,0.1,50.71428571,4.4,0.176645179,91.28724152,0,1,1,66.66666667,0,0,1,0,25,1,1,0,66.66666667,,,,22265.0,65413995.0,1,8.938647516,8.049244314,4,4,100.0,9.66,1,0,1,1,0.679420453,2,50,25.0375198,121.5636796
40,Aarhus,Europe,Denmark,373000,47.12637838,44.22009754,41.19358178,58.89363059,685.0,31.56682028,60.09189507,14812.0,206.0,79.97319035,14.15838592,2170.0,100.0,4.608294931,4.784281764,55.5,85.83333333,13.0,26.08695652,15.0,-2.0,35.71428571,0.6,0.160857909,92.06592493,0,1,1,66.66666667,0,0,1,0,25,1,1,1,100.0,22500000.0,12.06434316,18.90785569,2000.0,,0,5.361930295,,3,0,33.33333333,10.0,1,1,0,1,0.460829493,2,50,56.1496278,10.2134046
41,Bremen,Europe,Germany,586271,46.18137435,31.82450638,48.24706694,57.5,301.0,22.19764012,41.93731448,15000.0,0.0,51.1708749,9.059248373,1356.0,,,,49.0,75.0,28.0,58.69565217,25.0,3.0,71.42857143,2.6,0.443480916,78.12596905,1,1,1,100.0,0,0,1,0,25,1,1,1,100.0,,,,1510.0,,0,2.575600703,,1,0,11.11111111,4.7,0,1,0,0,0.34660767,2,30,53.0758196,8.8071646
42,Barcelona,Europe,Spain,1733130,46.03499799,54.39397167,37.92960663,51.70927059,268.0,19.29445644,36.3118402,22118.0,594.0,25.86649588,4.579382533,1389.0,801.0,57.66738661,61.64781971,28.0,40.0,2.7,3.695652174,2.1,0.6,54.28571429,0.2,0.011539815,99.43081592,1,0,1,66.66666667,0,0,1,0,25,1,1,0,66.66666667,19538746.0,2.25473519,3.503749022,11478.0,18880048.0,0,6.622699971,4.506548084,3,3,66.66666667,28.0,0,0,1,1,2.015838733,5,70,41.3825802,2.177073
43,Niterói,South America,Brazil,481749,45.33821583,44.93831091,38.80883368,62.66527073,35.28,3.111934374,4.955105012,2163.0,815.0,10.67153227,1.889279039,1133.7,402.0,35.45911617,37.84717049,27.0,38.33333333,6.0,10.86956522,4.0,2.0,64.28571429,0.0,0.0,100.0,1,1,0,66.66666667,0,0,1,0,25,1,1,1,100.0,6183732.0,2.567200762,3.994416235,600.0,1500000.0,0,1.245461848,6.849315068,1,4,55.55555556,16.06,1,1,1,1,1.416600512,4,80,-22.8884,-43.1147
44,Minneapolis,North America,United States,429954,45.21495148,50.80139709,31.33219462,59.28160267,221.0,11.21275311,20.65199248,2780.0,22529.0,65.33024463,11.5660112,1970.97,1265.79,64.22167765,68.67206693,25.45,35.75,1.2,0.434782609,3.0,-1.8,37.14285714,0.6,0.139549812,93.11691483,1,1,1,100.0,0,0,1,1,50,1,1,0,66.66666667,14370000.0,6.684436009,10.45974401,2500.0,304821.0,0,5.814575513,0.334050411,3,0,33.33333333,21.3,1,0,1,1,1.08068616,3,60,44.9772995,-93.2654692
45,Tampere,Europe,Finland,263260,44.9634951,51.72926217,43.28433402,39.86436383,179.0,19.88888889,37.46366688,5559.0,40.0,42.38395503,7.503619517,900.0,599.0,66.55555556,71.17328869,52.0,80.0,11.0,21.73913043,7.0,4.0,78.57142857,0.4,0.151941047,92.50573577,0,0,0,0.0,0,0,1,0,25,1,1,0,66.66666667,35900000.0,27.27341791,42.79078867,700.0,230000.0,0,2.65896832,0.900195695,1,0,11.11111111,6.2,1,0,1,1,0.688888889,2,50,61.4977929,23.7616372
